source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,ONGC moves toward an AI-driven digital era with CIPL - DD News,ONGC moves toward an AI-driven digital era with CIPL  DD News,2026-05-30 21:55:09,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Seamec Limited vessel SAMUDRA PRABHA on hire with ONGC - scanx.trade,Seamec Limited vessel SAMUDRA PRABHA on hire with ONGC  scanx.trade,2026-05-30 21:06:57,,0.0,0.167,0.833,-0.4215,Negative
GoogleNews,"ONGC Partners With BP Unit To Boost Oil, Gas Output From Mumbai High - BW Businessworld","ONGC Partners With BP Unit To Boost Oil, Gas Output From Mumbai High  BW Businessworld",2026-05-30 17:56:54,,0.157,0.0,0.843,0.6597,Positive
EconomicTimes_Markets,"<![CDATA[Coal India, ONGC, among 10 stocks with highest increase in government holding in Q4. Do you own any?]]>","Despite broader market volatility, rising prices in power, energy and metal stocks boosted the value of Government of India holdings during the March 2026 quarter, led by ONGC, NTPC and Coal India.",2026-05-30 10:56:02,,0.173,0.0,0.827,0.8221,Positive
GoogleNews,"Coal India, ONGC, among 10 stocks with highest increase in government holding in Q4. Do you own any? - The Economic Times","Coal India, ONGC, among 10 stocks with highest increase in government holding in Q4. Do you own any?  The Economic Times",2026-05-30 05:47:13,,0.108,0.0,0.892,0.6072,Positive
GoogleNews,"Weekly Market Wrap: NIFTY50, SENSEX fall nearly 1%, broader market outperforms; ONGC, Max Healthcare top losers - Upstox","Weekly Market Wrap: NIFTY50, SENSEX fall nearly 1%, broader market outperforms; ONGC, Max Healthcare top losers  Upstox",2026-05-30 05:11:13,,0.087,0.164,0.749,-0.6369,Negative
GoogleNews,"India's ONGC eyes petrochemicals trading, ethane shipping in diversification beyond upstream - S&P Global","India's ONGC eyes petrochemicals trading, ethane shipping in diversification beyond upstream  S&P Global",2026-05-29 17:01:36,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"Nifty Losers: Power Grid Leads, IndiGo, ONGC Slip - HDFC Sky","Nifty Losers: Power Grid Leads, IndiGo, ONGC Slip  HDFC Sky",2026-05-29 12:52:06,,0.185,0.233,0.582,-0.34,Negative
GoogleNews,ONGC Boosts Offshore Energy Growth - Chemical Industry Digest,ONGC Boosts Offshore Energy Growth  Chemical Industry Digest,2026-05-29 12:50:29,,0.56,0.0,0.44,0.9001,Positive
GoogleNews,"Top gainers and losers, May 29: Power Grid tumbles 4%, IndiGo, ONGC fall 3%; check full list - Upstox","Top gainers and losers, May 29: Power Grid tumbles 4%, IndiGo, ONGC fall 3%; check full list  Upstox",2026-05-29 11:04:22,,0.083,0.157,0.76,-0.6369,Negative
GoogleNews,"ONGC appoints S Kumar as Director, Strategy & Corporate Affairs - IndianMandarins","ONGC appoints S Kumar as Director, Strategy & Corporate Affairs  IndianMandarins",2026-05-29 10:49:51,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"Bears take charge in final hour: NIFTY50, BSE SENSEX tumble 1.5%; IndiGo, ONGC among top losers - Upstox","Bears take charge in final hour: NIFTY50, BSE SENSEX tumble 1.5%; IndiGo, ONGC among top losers  Upstox",2026-05-29 10:19:28,,0.087,0.164,0.749,-0.6369,Negative
GoogleNews,Satyan Kumar takes over as Strategy Director ONGC - APAC Media,Satyan Kumar takes over as Strategy Director ONGC  APAC Media,2026-05-29 08:43:33,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"ONGC shares fall 7% in two days post Q4 results - Buy, sell or hold? - Business Today","ONGC shares fall 7% in two days post Q4 results - Buy, sell or hold?  Business Today",2026-05-29 07:46:20,,0.126,0.0,0.874,0.5803,Positive
GoogleNews,Neutral ONGC; target of Rs 265: Motilal Oswal - Moneycontrol.com,Neutral ONGC; target of Rs 265: Motilal Oswal  Moneycontrol.com,2026-05-29 06:48:41,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Neutral ONGC; target of Rs 265: Motilal Oswal - TradingView,Neutral ONGC; target of Rs 265: Motilal Oswal  TradingView,2026-05-29 06:48:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,ONGC Welcomes Satyan Kumar as Director (Strategy & Corporate Affairs) - PSU Connect,ONGC Welcomes Satyan Kumar as Director (Strategy & Corporate Affairs)  PSU Connect,2026-05-29 06:41:00,,0.19,0.0,0.81,0.6597,Positive
GoogleNews,ONGC’s higher realizations run into a production wall again - Mint,ONGC’s higher realizations run into a production wall again  Mint,2026-05-29 06:38:03,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,ONGC appoints Satyan Kumar as its Director (Strategy & Corporate Affairs) - PSU Watch,ONGC appoints Satyan Kumar as its Director (Strategy & Corporate Affairs)  PSU Watch,2026-05-29 06:34:07,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"ONGC shares fall for second day; CLSA sees up to 73% upside, says Q4 miss was due to one-off charges - Moneycontrol.com","ONGC shares fall for second day; CLSA sees up to 73% upside, says Q4 miss was due to one-off charges  Moneycontrol.com",2026-05-29 04:36:01,,0.09,0.152,0.758,-0.25,Negative
GoogleNews,"Ashok Leyland to Bharat Dynamics Q4 Results Review — Check Target Prices, Potential Upside, Ratings, Stock Calls By HDFC Securities - NDTV Profit","Ashok Leyland to Bharat Dynamics Q4 Results Review — Check Target Prices, Potential Upside, Ratings, Stock Calls By HDFC Securities  NDTV Profit",2026-05-29 03:49:22,,0.27,0.0,0.73,0.9081,Positive
GoogleNews,ONGC Share Price Live Updates: ONGC's recent performance highlights a drop in returns - The Economic Times,ONGC Share Price Live Updates: ONGC's recent performance highlights a drop in returns  The Economic Times,2026-05-29 03:10:08,,0.117,0.112,0.771,0.0516,Positive
GoogleNews,"Stocks in news: RIL, Coal India, IDFC First Bank, Zydus Life, ONGC - The Economic Times","Stocks in news: RIL, Coal India, IDFC First Bank, Zydus Life, ONGC  The Economic Times",2026-05-29 00:31:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Oil and Natural Gas Corporation Limited (NSE:ONGC) Just Reported Full-Year Earnings: Have Analysts Changed Their Mind On The Stock? - simplywall.st,Oil and Natural Gas Corporation Limited (NSE:ONGC) Just Reported Full-Year Earnings: Have Analysts Changed Their Mind On The Stock?  simplywall.st,2026-05-29 00:07:33,,0.116,0.082,0.802,0.3736,Positive
GoogleNews,"ONGC reports progress on geothermal drilling in Ladakh, India - ThinkGeoEnergy","ONGC reports progress on geothermal drilling in Ladakh, India  ThinkGeoEnergy",2026-05-28 16:40:33,,0.228,0.0,0.772,0.6808,Positive
GoogleNews,ONGC yet to take control of Cambay Block as Vedanta challenges govt move - Business Standard,ONGC yet to take control of Cambay Block as Vedanta challenges govt move  Business Standard,2026-05-28 05:02:23,,0.073,0.164,0.763,-0.6369,Negative
GoogleNews,"ONGC Standalone March 2026 Net Sales at Rs 35,928.18 crore, up 2.7% Y-o-Y - Moneycontrol.com","ONGC Standalone March 2026 Net Sales at Rs 35,928.18 crore, up 2.7% Y-o-Y  Moneycontrol.com",2026-05-28 04:41:45,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,ONGC yet to take control of Cambay Block as Vedanta challenges govt move - The Economic Times,ONGC yet to take control of Cambay Block as Vedanta challenges govt move  The Economic Times,2026-05-28 04:03:23,,0.07,0.155,0.775,-0.6369,Negative
GoogleNews,State-owned operator reveals new oil and gas finds in flagship offshore basin - Upstream Online,State-owned operator reveals new oil and gas finds in flagship offshore basin  Upstream Online,2026-05-28 03:45:15,,0.094,0.0,0.906,0.2023,Positive
GoogleNews,ONGC appoints Satyan Kumar as Strategy Director till 2028 - scanx.trade,ONGC appoints Satyan Kumar as Strategy Director till 2028  scanx.trade,2026-05-28 03:33:58,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Accumulate ONGC; target of Rs 297: Prabhudas Lilladher - Moneycontrol.com,Accumulate ONGC; target of Rs 297: Prabhudas Lilladher  Moneycontrol.com,2026-05-28 03:02:49,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"ONGC sees gas eclipsing oil as core earnings driver, targets 7-8% annual output growth - PSU Watch","ONGC sees gas eclipsing oil as core earnings driver, targets 7-8% annual output growth  PSU Watch",2026-05-27 16:50:30,,0.144,0.0,0.856,0.6369,Positive
GoogleNews,ONGC Share Price Live Updates: ONGC's Stock Performance - The Economic Times,ONGC Share Price Live Updates: ONGC's Stock Performance  The Economic Times,2026-05-27 16:28:22,,0.173,0.0,0.827,0.5267,Positive
GoogleNews,ONGC sees new-well gas potential to spur profitability: Chairman - The Hindu,ONGC sees new-well gas potential to spur profitability: Chairman  The Hindu,2026-05-27 16:24:45,,0.167,0.0,0.833,0.4939,Positive
