source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
LiveMint_News,"<![CDATA[African Proverb of the day: 'If you are threatened by a man, sleep at night, if it is by a woman...']]>","Although the wording may initially appear to focus on gender, the proverb's enduring appeal lies elsewhere. At its heart is a broader lesson about perception.",2026-05-31 11:28:52,,0.079,0.114,0.807,-0.2244,Negative
LiveMint_News,"<![CDATA[Messi Kolkata tour controversy: Former Bengal minister Aroop Biswas, three others face FIR]]>","The FIR also mentions West Bengal DGP and current Rajya Sabha MP Rajeev Kumar, the minister's kin and Kolkata Municipal Corporation councillor Juin Biswas and I&amp;CA department secretary Shantanu Basu, holding them responsible for the mayhem at the Salt Lake Stadium.",2026-05-31 10:46:39,,0.047,0.0,0.953,0.3802,Positive
EconomicTimes_Markets,<![CDATA['Misleading financial statements': Suzlon to challenge Sebi's penalty order before SAT]]>,"Suzlon Energy plans to challenge Sebi's order imposing penalties of nearly Rs 29 crore on the company and former executives over alleged accounting and disclosure violations related to FY14-FY18. The company will appeal before the Securities Appellate Tribunal, while Sebi maintains that certain transactions and disclosures misrepresented its financial position.",2026-05-31 10:39:45,,0.133,0.111,0.756,-0.2714,Negative
EconomicTimes_Markets,<![CDATA[Patanjali Foods Q4 Results: Profit jumps 46% to Rs 524 crore despite margin pressure]]>,"Patanjali Foods reported a strong rise in quarterly and annual earnings, driven by robust growth in its edible oils and FMCG businesses. While revenue expanded across key segments, higher raw material, packaging and freight costs weighed on margins. The company also continued expanding its oil palm cultivation and export footprint.",2026-05-31 09:57:43,,0.185,0.0,0.815,0.9077,Positive
EconomicTimes_TopStories,<![CDATA[Patanjali Foods Q4 Results: Profit jumps 46% to Rs 524 crore despite margin pressure]]>,"Patanjali Foods reported a strong rise in quarterly and annual earnings, driven by robust growth in its edible oils and FMCG businesses. While revenue expanded across key segments, higher raw material, packaging and freight costs weighed on margins. The company also continued expanding its oil palm cultivation and export footprint.",2026-05-31 09:57:43,,0.185,0.0,0.815,0.9077,Positive
LiveMint_News,<![CDATA[Abhishek Banerjee attack: 5 arrested after mob assault on TMC MP in South 24 Parganas' Sonarpur]]>,"The attack on Abhishek Banerjee took place in Sonarpur of South 24 Parganas district of West Bengal, while he was in the area to meet one of the victims of post-poll violence.",2026-05-31 09:27:25,,0.0,0.32,0.68,-0.9628,Negative
EconomicTimes_TopStories,"<![CDATA[Bonus issues, dividends and more: Reliance Industries, Trent among 20 stocks turning ex-date this week]]>","Reliance Industries, Trent, and 18 other stocks are set to turn ex-date this week for corporate actions including dividends and bonus issues. Investors must hold shares by the record date to be eligible. Key events include Anand Rathi Wealth's 1:1 bonus and Trent's 1:2 bonus issue.",2026-05-31 09:03:58,,0.186,0.0,0.814,0.9184,Positive
EconomicTimes_Markets,"<![CDATA[Bonus issues, dividends and more: Reliance Industries, Trent among 20 stocks turning ex-date this week]]>","Reliance Industries, Trent, and 18 other stocks are set to turn ex-date this week for corporate actions including dividends and bonus issues. Investors must hold shares by the record date to be eligible. Key events include Anand Rathi Wealth's 1:1 bonus and Trent's 1:2 bonus issue.",2026-05-31 09:03:58,,0.186,0.0,0.814,0.9184,Positive
LiveMint_News,"<![CDATA[Iran-US News LIVE: ‘Close to a deal,’ says Trump on peace negotiations, seeks no nuclear weapons promise from Tehran]]>","Iran-US News LIVE: Trump is looking to finalise a peace deal with Iran on the guarantee that there will be no nuclear weapons. He said that the deal would result in opening of the Strait of Hormuz. But if Iran refuses, US will resort to military action. Stay tuned for LIVE updates:",2026-05-31 08:45:43,,0.146,0.041,0.812,0.7309,Positive
LiveMint_News,"<![CDATA[World News Today Live Updates on May 31, 2026 : Exxon and Chevron warn oil could hit $160 as Iran war pushes stockpiles to ‘really low levels’]]>","World News Today Live Updates on May 31, 2026: Stay informed on global events with our in-depth world news coverage, bringing you the latest developments across politics, economy, and culture. Discover insights into international affairs, breaking news, and the trends shaping our interconnected world, all in one place.",2026-05-31 05:36:54,,0.0,0.097,0.903,-0.7712,Negative
