source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
LiveMint_Markets,<![CDATA[Nifty 50 Scorecard: The winners and losers of Q4 results season]]>,"Nifty EPS for FY26 ended at  ₹1,065, up 5% YoY, a second consecutive year of single-digit growth. Five Nifty companies – Bharti Airtel, JSW Steel, HDFC Bank, Infosys, and Tata Consultancy Services (TCS) – contributed 75% of the incremental YoY accretion in earnings.",2026-06-02 11:05:58,,0.179,0.053,0.768,0.7901,Positive
EconomicTimes_Markets,"<![CDATA[IT rally rages on! Infosys, TCS, other stocks jump up to 4% despite overall market weakness]]>","Indian IT stocks, including Infosys and TCS, surged over 3% on Tuesday, extending a three-day rally despite a broader market decline. This rebound follows an earlier sell-off triggered by AI advancements, with investors now seeing value in the sector's potential to adapt and integrate new technologies.",2026-06-02 10:42:58,,0.079,0.046,0.875,0.2996,Positive
GoogleNews,"TCS shares soar 7%, up nearly 10% in just two sessions! What are technical charts indicating? - The Economic Times","TCS shares soar 7%, up nearly 10% in just two sessions! What are technical charts indicating?  The Economic Times",2026-06-02 09:49:05,,0.126,0.0,0.874,0.6535,Positive
GoogleNews,Why TCS Share Price is Rising - Equitymaster,Why TCS Share Price is Rising  Equitymaster,2026-06-02 08:52:57,,0.253,0.0,0.747,0.5267,Positive
GoogleNews,Man Matters Launches Creatine+Electrolyte at TCS World 10K - Passionate In Marketing,Man Matters Launches Creatine+Electrolyte at TCS World 10K  Passionate In Marketing,2026-06-02 08:31:54,,0.321,0.0,0.679,0.7906,Positive
GoogleNews,CBSE's Rs 384 crore OSM deal: How Coempt beat TCS by 2 marks and a 60% lower bid - India Today,CBSE's Rs 384 crore OSM deal: How Coempt beat TCS by 2 marks and a 60% lower bid  India Today,2026-06-02 08:21:38,,0.0,0.101,0.899,-0.5267,Negative
GoogleNews,"Why Are TCS, Infosys, Coforge & Other IT Stocks Rising Today? Nifty IT Soars 4%; Key Reasons Behind IT Rally - Goodreturns","Why Are TCS, Infosys, Coforge & Other IT Stocks Rising Today? Nifty IT Soars 4%; Key Reasons Behind IT Rally  Goodreturns",2026-06-02 08:07:49,,0.123,0.0,0.877,0.6966,Positive
GoogleNews,"NSE Mainboard Most Active Equities on June 2, 2026, At Mid-Day: Infosys, HDFC Bank, TCS Lead by Traded Value - HDFC Sky","NSE Mainboard Most Active Equities on June 2, 2026, At Mid-Day: Infosys, HDFC Bank, TCS Lead by Traded Value  HDFC Sky",2026-06-02 07:47:14,,0.217,0.0,0.783,0.8685,Positive
GoogleNews,"Why Infosys, TCS, TechM shares are rising today? - India Infoline","Why Infosys, TCS, TechM shares are rising today?  India Infoline",2026-06-02 07:46:34,,0.2,0.0,0.8,0.5803,Positive
GoogleNews,"Infosys, TCS Lead IT Rally as AI Optimism Sparks Fresh Buying in Software Stocks - HDFC Sky","Infosys, TCS Lead IT Rally as AI Optimism Sparks Fresh Buying in Software Stocks  HDFC Sky",2026-06-02 07:26:39,,0.286,0.0,0.714,0.891,Positive
