source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
EconomicTimes_Markets,<![CDATA[Patanjali Foods Q4 Results: Profit jumps 46% to Rs 524 crore despite margin pressure]]>,"Patanjali Foods reported a strong rise in quarterly and annual earnings, driven by robust growth in its edible oils and FMCG businesses. While revenue expanded across key segments, higher raw material, packaging and freight costs weighed on margins. The company also continued expanding its oil palm cultivation and export footprint.",2026-05-31 09:57:43,,0.185,0.0,0.815,0.9077,Positive
EconomicTimes_TopStories,<![CDATA[Patanjali Foods Q4 Results: Profit jumps 46% to Rs 524 crore despite margin pressure]]>,"Patanjali Foods reported a strong rise in quarterly and annual earnings, driven by robust growth in its edible oils and FMCG businesses. While revenue expanded across key segments, higher raw material, packaging and freight costs weighed on margins. The company also continued expanding its oil palm cultivation and export footprint.",2026-05-31 09:57:43,,0.185,0.0,0.815,0.9077,Positive
EconomicTimes_TopStories,<![CDATA[Why Indian investors need global exposure today]]>,"With the rupee weakening and structural pressures from oil, capital outflows and inflation differentials persisting, Indian investors face currency risk in domestic-only portfolios. The article argues for global diversification, highlighting how dollar assets provide both return potential and currency protection, making international exposure a strategic necessity.",2026-05-31 09:36:10,,0.029,0.162,0.81,-0.784,Negative
EconomicTimes_Markets,<![CDATA[Why Indian investors need global exposure today]]>,"With the rupee weakening and structural pressures from oil, capital outflows and inflation differentials persisting, Indian investors face currency risk in domestic-only portfolios. The article argues for global diversification, highlighting how dollar assets provide both return potential and currency protection, making international exposure a strategic necessity.",2026-05-31 09:36:10,,0.029,0.162,0.81,-0.784,Negative
EconomicTimes_Markets,"<![CDATA[Market Outlook: US-Iran talks, crude oil among 5 factors to drive D-St in first week of June]]>","Markets brace for a crucial week. Investors watch US-Iran peace talks closely. Crude oil price drops also impact sentiment. Foreign investors sold heavily, impacting Indian equities. The Rupee shows strength against the US Dollar. Technical indicators suggest a lack of strong trend. Geopolitical and economic developments will drive market sensitivity.",2026-05-31 09:21:36,,0.127,0.12,0.753,0.1511,Positive
EconomicTimes_TopStories,"<![CDATA[Market Outlook: US-Iran talks, crude oil among 5 factors to drive D-St in first week of June]]>","Markets brace for a crucial week. Investors watch US-Iran peace talks closely. Crude oil price drops also impact sentiment. Foreign investors sold heavily, impacting Indian equities. The Rupee shows strength against the US Dollar. Technical indicators suggest a lack of strong trend. Geopolitical and economic developments will drive market sensitivity.",2026-05-31 09:21:36,,0.127,0.12,0.753,0.1511,Positive
LiveMint_News,"<![CDATA[World News Today Live Updates on May 31, 2026 : Exxon and Chevron warn oil could hit $160 as Iran war pushes stockpiles to ‘really low levels’]]>","World News Today Live Updates on May 31, 2026: Stay informed on global events with our in-depth world news coverage, bringing you the latest developments across politics, economy, and culture. Discover insights into international affairs, breaking news, and the trends shaping our interconnected world, all in one place.",2026-05-31 05:36:54,,0.0,0.097,0.903,-0.7712,Negative
LiveMint_News,<![CDATA[Exxon and Chevron warn oil could hit $160 as Iran war pushes stockpiles to ‘really low levels’]]>,"Exxon and Chevron executives warn global oil stockpiles are nearing historic lows as the Iran war continues, with Brent crude potentially surging to $150 a barrel within weeks.",2026-05-31 05:36:36,,0.0,0.327,0.673,-0.9476,Negative
GoogleNews,Falling oil prices offer relief ahead even as UAE petrol costs rise again in June - The National,Falling oil prices offer relief ahead even as UAE petrol costs rise again in June  The National,2026-05-31 05:27:31,,0.153,0.079,0.767,0.6124,Positive
GoogleNews,Omega-3 fish oil shows promise against type 2 diabetes - ScienceDaily,Omega-3 fish oil shows promise against type 2 diabetes  ScienceDaily,2026-05-31 05:17:18,,0.195,0.0,0.805,0.5574,Positive
